# ThreatLens frontend OS package metadata
# Generated from /lib/apk/db/installed

package\tversion\tlicense\torigin\thomepage
nginx-module-geoip	1.31.3-r1	2-clause BSD-like license	nginx-module-geoip	https://nginx.org/
nginx-module-image-filter	1.31.3-r1	2-clause BSD-like license	nginx-module-image-filter	https://nginx.org/
nginx-module-njs	1.31.3.1.0.0-r1	2-clause BSD-like license	nginx-module-njs	https://nginx.org/
nginx-module-xslt	1.31.3-r1	2-clause BSD-like license	nginx-module-xslt	https://nginx.org/
pcre2	10.47-r1	BSD-3-Clause	pcre2	https://pcre.org/
scanelf	1.3.9-r1	GPL-2.0-only	pax-utils	https://wiki.gentoo.org/wiki/Hardened/PaX_Utilities
ssl_client	1.37.0-r31	GPL-2.0-only	busybox	https://busybox.net/
tiff	4.7.1-r0	libtiff	tiff	https://gitlab.com/libtiff/libtiff
tzdata	2026c-r0	Public-Domain	tzdata	https://www.iana.org/time-zones
xz-libs	5.8.3-r0	GPL-2.0-or-later AND 0BSD AND Public-Domain AND LGPL-2.1-or-later	xz	https://tukaani.org/xz/
zlib	1.3.2-r0	Zlib	zlib	https://zlib.net/
zstd-libs	1.5.7-r2	BSD-3-Clause OR GPL-2.0-or-later	zstd	https://facebook.github.io/zstd/

